lake,timestamp,download_timestamp,ph,temperature,dissolved_ammonia,cod,bod,dissolved_oxygen,turbidity,conductivity,chloride,nitrate,toc,level,level_2
Varthur Lake,2023-08-16 13:30:00,2023-08-16 18:30:00,7.23,28.5,0.07,548.54,123.54,0.77,30.28,1350.0,249.72,19.47,421.88,1.29,
Bellandhur Lake,2023-08-16 13:30:00,2023-08-16 18:30:00,7.26,27.5,6.78,516.43,155.51,0.57,61.3,1198.0,113.72,22.48,807.44,1.2,
Agara Lake,2023-08-16 13:30:00,2023-08-16 18:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-16 14:30:00,2023-08-16 19:30:00,7.22,28.9,0.1,507.21,110.25,0.77,31.98,1351.0,232.73,23.29,399.55,1.29,
Bellandhur Lake,2023-08-16 14:30:00,2023-08-16 19:30:00,7.14,28.3,9.06,555.01,158.61,0.56,65.78,1245.0,117.15,22.47,893.59,1.2,
Agara Lake,2023-08-16 14:30:00,2023-08-16 19:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-16 15:30:00,2023-08-16 20:30:00,7.22,29.3,0.17,518.14,115.69,0.77,31.16,1352.0,236.52,21.64,408.41,1.29,
Bellandhur Lake,2023-08-16 15:30:00,2023-08-16 20:30:00,7.03,28.8,10.83,604.52,168.93,0.56,74.01,1230.0,123.01,22.43,973.19,1.2,
Agara Lake,2023-08-16 15:30:00,2023-08-16 20:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-16 16:30:00,2023-08-16 21:30:00,7.18,29.4,0.33,528.41,110.02,0.77,32.07,1353.0,243.32,24.96,409.45,1.29,
Bellandhur Lake,2023-08-16 16:30:00,2023-08-16 21:30:00,6.98,29.1,11.33,585.28,161.36,0.56,78.13,1218.0,126.58,22.47,898.85,1.2,
