stp_name,timestamp,ph,temperature,ammonical_nitrogen,total_nitrogen,cod,bod,tss,color,dissolved_oxygen,total_phosphorus,updated_on,outlet_flow,inlet_flow
DODDABELE 20 MLD,2023-12-01 04:45:00,7.11,26.10,0.79,4.80,39.46,6.82,6.48,11.09,4.27,-,2023120105,,
NAGASANDRA OLD 20 MLD,2023-12-01 04:45:00,7.03,23.40,2.00,3.00,537.39,15.49,477.72,0.00,1.03,-,2023120105,,
4MLD Cubbon Park TTP,2023-12-01 05:00:00,7.16,27.90,0.71,4.69,17.31,1.19,0.94,5.02,3.55,-,2023120105,,
KADABEESANAHALLI 50 MLD,2023-11-26 14:15:00,6.83,25.60,0.79,3.53,92.81,7.85,34.05,6.34,3.14,-,2023120105,,
STP Sarakki 5 MLD,2023-12-01 04:45:00,7.95,26.80,0.65,1.30,18.67,4.76,5.62,3.73,-,-,2023120105,,
Mailasandra STP 75 MLD,2023-12-01 05:00:00,7.52,21.70,7.26,13.07,45.38,7.98,18.67,13.26,-0.45,-,2023120105,,
60 MLD V.Valley TTP,2023-12-01 04:45:00,6.92,23.60,0.88,2.11,20.02,1.78,3.19,4.56,1.52,-,2023120105,,
KR Puram STP 20 MLD,2023-12-01 05:00:00,6.96,24.70,1.97,3.94,112.42,0.0,289.09,15.74,3.69,-,2023120105,,
1.5 MLD Lalbagh TTP,2023-11-27 13:15:00,7.21,27.40,0.62,3.03,18.08,1.41,1.06,-0.02,-0.04,-,2023120105,,
35MLD Agaram STP,2023-12-01 05:00:00,7.16,25.20,0.76,3.12,29.36,5.01,4.18,6.44,-,-,2023120105,,
Chikka_Bagur_5_MLD_STP,2023-12-01 05:00:00,7.88,26.70,6.01,12.00,43.30,6.1,8.7,12.20,-,-,2023120105,,
Yelahanka 10MLD TTP,2023-12-01 05:00:00,7.34,24.30,1.45,4.06,34.40,10.1,11.4,6.88,3.06,0.20,2023120105,,
40MLD OLD Rajacanal STP,2023-12-01 05:00:00,7.66,24.10,2.98,9.83,26.10,6.6,7.3,6.53,10.43,1.49,2023120105,,
Hennur 1MLD TTP,2023-11-30 22:45:00,7.56,26.60,1.29,1.93,22.30,3.3,4.9,5.11,4.08,0.26,2023120105,,
4_MLD_Madiwala_STP,2023-12-01 05:00:00,7.8,23.90,1.17,3.39,34.33,2.58,3.54,8.58,-,-,2023120105,,
150MLD STP_K&C valley,2023-12-01 04:55:00,6.51,-,2.71,2.91,-,9.07,8.75,-,-,0.88,2023120105,,
20Mld KR Puram STP New,2023-11-30 15:00:00,7.5,-,3.06,3.38,41.65,6.38,6.83,9.68,-,-,2023120105,,
10 MLD STP HULIMAVU,2023-11-18 23:45:00,7.31,-,-,-,21.22,1.27,3.4,1.20,-,-,2023120105,,
2MLD Ulsoor STP,2023-12-01 05:30:00,7.25,25.70,0.38,1.90,16.80,2.35,2.69,3.36,2.40,-,2023120106,,
CHIKKABANAVARA 5 MLD,2023-12-01 05:45:00,7.52,23.00,0.36,3.40,28.17,4.41,4.5,12.35,2.88,-,2023120106,,
KADUGODI 6 MLD STP,2023-12-01 06:00:00,7.7,26.80,0.50,3.34,37.37,7.07,10.44,6.56,2.95,-,2023120106,,
HORAMAVU 20 MLD,2023-12-01 05:45:00,7.59,28.00,1.05,3.50,36.88,7.76,9.19,4.56,4.20,-,2023120106,,
K AND C VALLEY 60 MLD,2023-12-01 05:45:00,6.89,26.50,0.61,3.50,46.78,10.7,20.82,8.79,5.06,-,2023120106,,
NAGASANDRA 20 MLD,2023-12-01 05:45:00,7.56,24.20,0.95,3.80,191.37,4.79,44.24,0.00,3.63,-,2023120106,,
RAJACANAL 40 MLD,2023-12-01 05:45:00,7.66,26.10,0.88,4.10,28.85,3.57,4.67,8.07,4.22,-,2023120106,,
YELLAMALAPACHETTY 15 MLD,2023-11-28 10:45:00,7.3,27.02,0.54,2.16,25.09,4.37,1.87,4.59,1.62,-,2023120106,,
BELLANDUR 90 MLD,2023-12-01 05:45:00,7.86,25.90,0.55,1.70,27.92,3.21,13.81,5.58,3.08,-,2023120106,,
DODDABELE 20 MLD,2023-12-01 05:45:00,7.11,26.00,0.79,4.80,39.51,6.81,6.55,11.10,4.27,-,2023120106,,
NAGASANDRA OLD 20 MLD,2023-12-01 05:45:00,6.97,23.70,1.78,2.67,521.16,25.2,445.02,0.00,0.17,-,2023120106,,
4MLD Cubbon Park TTP,2023-12-01 06:00:00,7.16,27.90,0.70,4.69,17.31,1.19,0.94,5.02,3.50,-,2023120106,,
KADABEESANAHALLI 50 MLD,2023-11-26 14:15:00,6.83,25.60,0.79,3.53,92.81,7.85,34.05,6.34,3.14,-,2023120106,,
STP Sarakki 5 MLD,2023-12-01 05:45:00,7.97,26.70,0.64,1.28,18.67,4.76,5.62,3.73,-,-,2023120106,,
Mailasandra STP 75 MLD,2023-12-01 06:00:00,7.51,21.60,7.27,13.08,45.42,8.01,18.66,13.07,-0.45,-,2023120106,,
60 MLD V.Valley TTP,2023-12-01 05:45:00,6.92,23.60,0.86,2.06,20.02,1.78,3.19,4.55,1.52,-,2023120106,,
KR Puram STP 20 MLD,2023-12-01 06:00:00,6.96,24.60,1.91,3.82,112.90,0.0,291.0,15.81,3.69,-,2023120106,,
1.5 MLD Lalbagh TTP,2023-11-27 13:15:00,7.21,27.40,0.62,3.03,18.08,1.41,1.06,-0.02,-0.04,-,2023120106,,
35MLD Agaram STP,2023-12-01 06:00:00,7.15,25.20,0.76,3.12,29.32,5.01,4.18,6.43,-,-,2023120106,,
Chikka_Bagur_5_MLD_STP,2023-12-01 06:00:00,7.88,26.70,5.82,11.60,43.40,6.0,8.7,12.00,-,-,2023120106,,
Yelahanka 10MLD TTP,2023-12-01 06:00:00,7.34,24.20,1.47,4.12,34.40,10.1,11.3,6.88,3.05,0.20,2023120106,,
40MLD OLD Rajacanal STP,2023-12-01 06:00:00,7.66,24.10,2.88,9.50,26.10,6.6,7.4,6.53,10.08,1.44,2023120106,,
Hennur 1MLD TTP,2023-11-30 22:45:00,7.56,26.60,1.29,1.93,22.30,3.3,4.9,5.11,4.08,0.26,2023120106,,
4_MLD_Madiwala_STP,2023-12-01 06:00:00,7.8,23.90,1.18,3.42,34.34,2.59,3.55,8.59,-,-,2023120106,,
150MLD STP_K&C valley,2023-12-01 05:55:00,6.51,-,2.71,2.91,-,9.07,8.75,-,-,0.88,2023120106,,
