stp_name,timestamp,ph,temperature,ammonical_nitrogen,total_nitrogen,cod,bod,tss,color,dissolved_oxygen,total_phosphorus,outlet_flow,inlet_flow,updated_on
4MLD Cubbon Park TTP,2024-03-20 16:45:00,6.81,30.60,0.65,4.74,17.33,1.24,0.92,5.03,-,-,-,-,2024032017
KADABEESANAHALLI 50 MLD,2024-03-17 12:15:00,7.22,26.00,0.83,3.73,44.74,8.28,10.17,8.29,3.31,-,-,-,2024032017
STP Sarakki 5 MLD,2024-03-20 16:45:00,7.8,29.20,0.95,1.90,20.72,7.85,7.71,4.14,-,-,-,-,2024032017
Mailasandra STP 75 MLD,2024-03-20 16:45:00,7.59,26.70,18.47,29.55,49.60,13.65,16.66,3.48,1.14,-,-,-,2024032017
60 MLD V.Valley TTP,2023-12-05 15:45:00,6.87,23.10,0.86,2.06,20.00,1.75,3.18,4.55,1.53,-,-,-,2024032017
KR Puram STP 20 MLD,2024-03-20 16:45:00,6.98,27.40,2.56,5.12,63.30,13.13,47.0,8.86,-0.36,-,-,-,2024032017
1.5 MLD Lalbagh TTP,2024-03-20 16:45:00,7.03,33.10,0.36,1.77,18.66,1.51,1.01,0.00,0.00,-,-,-,2024032017
35MLD Agaram STP,2024-03-20 16:45:00,7.28,28.20,0.63,2.58,29.85,5.1,3.46,6.55,-,-,-,-,2024032017
Chikka_Bagur_5_MLD_STP,2024-03-20 13:30:00,7.4,27.20,7.05,14.10,43.70,7.4,7.2,14.80,-,-,-,-,2024032017
Yelahanka 10MLD TTP,2024-03-20 13:45:00,7.32,24.80,0.0,-,36.60,5.8,5.6,7.34,14.96,0.23,-,-,2024032017
40MLD OLD Rajacanal STP,2024-03-20 13:45:00,7.59,25.80,1.2,2.16,26.30,8.3,10.8,6.57,3.80,0.60,-,-,2024032017
Hennur 1MLD TTP,2024-02-29 09:15:00,7.56,26.40,0.44,0.66,18.90,1.6,4.0,4.95,4.72,0.09,-,-,2024032017
4_MLD_Madiwala_STP,2024-03-20 17:00:00,7.6,28.40,1.52,4.40,35.17,4.23,4.26,8.79,-,-,-,-,2024032017
150MLD STP_K&C valley,2024-03-20 16:45:00,6.97,-,1.04,5.73,-,4.5,9.69,-,-,0.98,-,-,2024032017
20Mld KR Puram STP New,2024-03-19 09:00:00,0.0,-,0.0,0.00,0.00,0.0,0.0,0.00,-,-,3.49,4.38,2024032017
10 MLD STP HULIMAVU,2024-03-20 16:45:00,8.02,-,3.77,3.29,14.28,0.86,2.6,1.20,-,-,5.96,6.25,2024032017
2MLD Ulsoor STP,2024-03-20 17:15:00,6.9,29.10,0.54,2.70,20.72,2.9,3.32,4.14,2.96,-,-,-,2024032018
CHIKKABANAVARA 5 MLD,2024-03-20 17:30:00,7.39,26.60,0.37,3.40,26.41,4.22,4.37,10.61,2.96,-,-,-,2024032018
KADUGODI 6 MLD STP,2024-03-20 17:00:00,7.86,28.00,0.3,7.23,39.75,7.45,15.17,6.82,1.77,-,-,-,2024032018
HORAMAVU 20 MLD,2024-03-20 17:45:00,7.78,30.40,0.99,3.40,37.62,7.03,11.51,2.68,3.96,-,-,-,2024032018
K AND C VALLEY 60 MLD,2024-03-20 17:54:00,6.74,29.40,0.7,2.70,46.94,11.41,6.51,14.58,5.81,-,-,-,2024032018
NAGASANDRA 20 MLD,2024-03-01 11:00:00,7.61,25.30,1.02,4.08,46.64,8.89,11.16,7.62,3.77,-,-,-,2024032018
RAJACANAL 40 MLD,2024-03-20 17:45:00,7.59,28.60,1.17,2.80,28.49,3.61,4.02,8.08,5.62,-,-,-,2024032018
YELLAMALAPACHETTY 15 MLD,2024-03-14 17:45:00,7.53,28.97,0.55,2.20,36.50,6.07,7.84,4.78,3.83,-,-,-,2024032018
BELLANDUR 90 MLD,2024-03-20 17:45:00,7.75,29.20,0.94,1.50,27.74,6.3,10.33,5.55,5.26,-,-,-,2024032018
DODDABELE 20 MLD,2024-03-20 17:45:00,6.96,28.60,0.33,1.30,48.53,6.64,24.45,9.84,-,-,-,-,2024032018
NAGASANDRA OLD 20 MLD,2024-03-01 11:00:00,7.35,24.10,1.36,2.04,54.28,5.26,23.47,0.00,-,-,-,-,2024032018
4MLD Cubbon Park TTP,2024-03-20 17:45:00,6.83,30.60,0.65,4.74,17.33,1.24,0.92,5.03,3.25,-,-,-,2024032018
KADABEESANAHALLI 50 MLD,2024-03-17 12:15:00,7.22,26.00,0.83,3.73,44.74,8.28,10.17,8.29,3.31,-,-,-,2024032018
STP Sarakki 5 MLD,2024-03-20 17:30:00,7.83,29.20,0.97,1.94,20.78,7.95,7.86,4.16,-,-,-,-,2024032018
Mailasandra STP 75 MLD,2024-03-20 17:45:00,7.57,26.40,18.17,29.07,50.30,14.34,16.65,3.60,0.87,-,-,-,2024032018
60 MLD V.Valley TTP,2023-12-05 15:45:00,6.87,23.10,0.86,2.06,20.00,1.75,3.18,4.55,1.53,-,-,-,2024032018
KR Puram STP 20 MLD,2024-03-20 17:45:00,6.97,27.20,2.65,5.30,63.15,12.6,46.5,8.84,-0.69,-,-,-,2024032018
1.5 MLD Lalbagh TTP,2024-03-20 17:45:00,7.02,32.10,0.45,2.02,18.67,1.51,1.01,18.95,14.78,-,-,-,2024032018
35MLD Agaram STP,2024-03-20 17:30:00,7.21,28.30,0.63,2.58,29.56,5.05,3.46,6.49,-,-,-,-,2024032018
